gene,variable,value
PNMA1,arch_0,-0.02889537
ELMSAN1,arch_0,0.0023921374
AC005520.2,arch_0,-0.019697674
PTGR2,arch_0,-0.009473237
AC005520.5,arch_0,-0.018972252
ZNF410,arch_0,-0.010029895
AC005480.1,arch_0,-0.022575827
FAM161B,arch_0,-0.020525277
COQ6,arch_0,-0.004433272
ENTPD5,arch_0,-0.0042003435
BBOF1,arch_0,-0.012854558
ALDH6A1,arch_0,-0.018432075
LIN52,arch_0,-0.016341511
ABCD4,arch_0,-0.0021557943
VRTN,arch_0,-0.020554423
SYNDIG1L,arch_0,-0.015392443
NPC2,arch_0,-0.014150614
ISCA2,arch_0,-0.026887953
LTBP2,arch_0,-0.10229326
AC013451.1,arch_0,-0.056511324
AC013451.2,arch_0,-0.025433507
AREL1,arch_0,-0.008796073
FCF1,arch_0,-0.009023072
YLPM1,arch_0,5.2757518e-05
PROX2,arch_0,-0.024480296
DLST,arch_0,-0.018817948
RPS6KL1,arch_0,-0.01657577
PGF,arch_0,-0.020404736
EIF2B2,arch_0,-0.011975527
AL049780.1,arch_0,-0.020148199
MLH3,arch_0,-0.005587031
ACYP1,arch_0,-0.006902325
ZC2HC1C,arch_0,-0.029216398
NEK9,arch_0,-0.012885512
AL049780.2,arch_0,-0.018410088
TMED10,arch_0,-0.027293103
AL691403.1,arch_0,-0.017270613
AF111167.1,arch_0,-0.018305749
FOS,arch_0,0.06752486
JDP2,arch_0,0.00068224134
BATF,arch_0,-0.020291755
FLVCR2,arch_0,0.00072246685
TTLL5,arch_0,0.0065317918
ERG28,arch_0,-0.019566117
AF107885.2,arch_0,-0.014973084
IFT43,arch_0,-0.00976593
TGFB3,arch_0,-0.009010455
AC016526.4,arch_0,-0.025228627
GPATCH2L,arch_0,-0.02585348
AC016526.2,arch_0,-0.022969427
AC016526.1,arch_0,-0.02234893
ESRRB,arch_0,-0.027208615
AC008050.1,arch_0,-0.008925391
AC007376.2,arch_0,-0.0022081635
VASH1,arch_0,-0.027217243
AF111169.3,arch_0,-0.027705904
VASH1-AS1,arch_0,-0.028321918
ANGEL1,arch_0,-0.0276834
AF111169.4,arch_0,-0.022125345
LRRC74A,arch_0,-0.024950074
AC007686.4,arch_0,-0.039876327
LINC01629,arch_0,-0.026522113
IRF2BPL,arch_0,-0.04048441
AC007686.3,arch_0,-0.02373439
LINC02288,arch_0,-0.046470378
AC007686.2,arch_0,-0.04688399
CIPC,arch_0,-0.022806436
TMEM63C,arch_0,-0.02346669
POMT2,arch_0,-0.012600438
GSTZ1,arch_0,-0.018732317
TMED8,arch_0,-0.0036361811
SAMD15,arch_0,-0.023482075
NOXRED1,arch_0,-0.009773608
VIPAS39,arch_0,-0.0035658516
AHSA1,arch_0,-0.016060086
ISM2,arch_0,-0.020427784
SPTLC2,arch_0,0.023348326
ALKBH1,arch_0,-0.0047089113
SLIRP,arch_0,-0.019708294
SNW1,arch_0,-0.0114815775
C14orf178,arch_0,-0.022301698
ADCK1,arch_0,-0.0029239482
NRXN3,arch_0,-0.094373725
AC022469.2,arch_0,-0.024223328
AC008056.2,arch_0,-0.02672616
AC008056.1,arch_0,-0.028940551
AF123462.1,arch_0,-0.0279739
DIO2,arch_0,-0.082990445
DIO2-AS1,arch_0,-0.041302036
CEP128,arch_0,0.012901222
TSHR,arch_0,-0.0026294538
AC007262.2,arch_0,0.022999126
AL136040.2,arch_0,-0.018552087
GTF2A1,arch_0,-0.009741874
STON2,arch_0,0.028125493
LINC02308,arch_0,-0.019829627
SEL1L,arch_0,-0.016003208
AL355838.1,arch_0,-0.021163097
LINC02301,arch_0,-0.01763061
AL356807.1,arch_0,-0.016021365
AL049775.2,arch_0,-0.021971485
AL049775.1,arch_0,-0.013883908
FLRT2,arch_0,0.1269291
LINC02328,arch_0,-0.0008419483
LINC02316,arch_0,-0.022082578
LINC02296,arch_0,0.014839594
LINC02330,arch_0,-0.015220849
AL359237.1,arch_0,-0.0146751935
GALC,arch_0,-0.00089949515
KCNK10,arch_0,-0.022384895
SPATA7,arch_0,0.0069107637
PTPN21,arch_0,0.013255542
AL162171.2,arch_0,-0.0125746345
ZC3H14,arch_0,-0.009524726
EML5,arch_0,-0.030892618
TTC8,arch_0,-0.0182255
FOXN3,arch_0,-0.029172912
AL357093.2,arch_0,-0.02392625
AL356805.1,arch_0,-0.020897439
FOXN3-AS2,arch_0,-0.026546689
EFCAB11,arch_0,-0.0064136414
TDP1,arch_0,-0.0073546367
KCNK13,arch_0,-0.015784647
PSMC1,arch_0,-0.01100244
NRDE2,arch_0,-0.005095612
AL161662.1,arch_0,-0.020410948
CALM1,arch_0,0.004134472
AL512791.1,arch_0,-0.02272316
TTC7B,arch_0,-0.020921567
AL096869.2,arch_0,-0.02642163
RPS6KA5,arch_0,0.0068339114
DGLUCY,arch_0,0.043647453
GPR68,arch_0,-0.0081098825
AL135818.1,arch_0,-0.021571903
CCDC88C,arch_0,-0.01145386
PPP4R3A,arch_0,-0.002083735
CATSPERB,arch_0,-0.04935895
TC2N,arch_0,-0.019341055
FBLN5,arch_0,0.0066280556
TRIP11,arch_0,-0.0007162051
ATXN3,arch_0,-0.017151222
NDUFB1,arch_0,-0.021327732
CPSF2,arch_0,-0.00790041
SLC24A4,arch_0,-0.017082427
RIN3,arch_0,0.008951754
LGMN,arch_0,-0.01134637
GOLGA5,arch_0,-0.01136774
ITPK1,arch_0,-0.0053378353
ITPK1-AS1,arch_0,-0.028661182
MOAP1,arch_0,-0.028760454
TMEM251,arch_0,-0.026508939
GON7,arch_0,-0.02309203
UBR7,arch_0,-0.0075369054
BTBD7,arch_0,-0.006534074
UNC79,arch_0,-0.017654384
PRIMA1,arch_0,0.0031767641
OTUB2,arch_0,-0.021287814
DDX24,arch_0,-0.010607909
IFI27L1,arch_0,-0.007229246
IFI27,arch_0,-0.010943767
IFI27L2,arch_0,-0.019788947
PPP4R4,arch_0,-0.019249942
SERPINA5,arch_0,-0.024992228
SERPINA3,arch_0,-0.08783332
DICER1,arch_0,-0.023491664
DICER1-AS1,arch_0,-0.019823348
CLMN,arch_0,-0.10542241
SYNE3,arch_0,0.030928493
SNHG10,arch_0,-0.010020218
GLRX5,arch_0,-0.020746687
C14orf132,arch_0,0.015664704
BDKRB2,arch_0,0.003396009
ATG2B,arch_0,-0.0006158594
GSKIP,arch_0,-0.01229273
AK7,arch_0,-0.02293164
AL163051.1,arch_0,-0.020065134
PAPOLA,arch_0,-0.0012845319
AL137786.1,arch_0,-0.020186923
VRK1,arch_0,-0.005704942
LINC00618,arch_0,-0.02121509
LINC01550,arch_0,0.018928055
BCL11B,arch_0,-0.015569172
SETD3,arch_0,-0.011665595
CCNK,arch_0,-0.008724248
CCDC85C,arch_0,-0.010016564
AL160313.1,arch_0,-0.012731798
HHIPL1,arch_0,-0.0014000582
CYP46A1,arch_0,0.018686246
EML1,arch_0,0.029684296
EVL,arch_0,-0.011162169
AL157912.1,arch_0,-0.02012263
DEGS2,arch_0,-0.022156473
AL133523.1,arch_0,-0.017371578
YY1,arch_0,-0.010516765
AL157871.6,arch_0,-0.020419698
SLC25A29,arch_0,-0.00094616634
AL157871.1,arch_0,-0.026502505
AL157871.4,arch_0,-0.007976933
WARS,arch_0,0.030511094
WDR25,arch_0,0.0021300765
BEGAIN,arch_0,-0.018586779
DLK1,arch_0,-0.06485593
MEG3,arch_0,-0.052299622
AL117190.2,arch_0,-0.060386118
RTL1,arch_0,-0.043022156
MEG8,arch_0,-0.09293549
MIR381HG,arch_0,-0.02851067
MEG9,arch_0,-0.02620891
AL355836.2,arch_0,-0.0141434055
AL049836.2,arch_0,-0.019313585
DIO3OS,arch_0,-0.012381419
LINC02320,arch_0,-0.016883653
PPP2R5C,arch_0,0.0043974426
AL137779.2,arch_0,-0.02133916
AL137779.1,arch_0,-0.025345499
AL118558.3,arch_0,-0.02205848
AL118558.4,arch_0,-0.018327892
DYNC1H1,arch_0,0.0060988804
HSP90AA1,arch_0,0.017815394
WDR20,arch_0,-0.012967491
MOK,arch_0,0.014300687
ZNF839,arch_0,-0.008278347
CINP,arch_0,-0.0018508681
TECPR2,arch_0,-0.010278815
LINC02323,arch_0,-0.023766765
RCOR1,arch_0,-0.0034175958
TRAF3,arch_0,0.019453524
AMN,arch_0,-0.024420733
CDC42BPB,arch_0,0.0079105245
AL117209.1,arch_0,-0.020111647
AL161669.1,arch_0,-0.018882869
EXOC3L4,arch_0,0.010156262
TNFAIP2,arch_0,0.055049792
AL161669.3,arch_0,-0.019192647
EIF5,arch_0,-0.011436902
MARK3,arch_0,-0.008840322
AL133367.1,arch_0,-0.019684188
TRMT61A,arch_0,-0.023635337
AL139300.2,arch_0,-0.02275591
BAG5,arch_0,-0.014332454
KLC1,arch_0,0.01168478
AL049840.2,arch_0,-0.02014163
AL049840.3,arch_0,-0.0204102
XRCC3,arch_0,-0.011275715
ZFYVE21,arch_0,0.0026827506
PPP1R13B,arch_0,0.0053296946
LINC00637,arch_0,-0.019664917
AL132712.1,arch_0,-0.022293234
ATP5MPL,arch_0,-0.02280182
TDRD9,arch_0,-0.017916605
LINC02691,arch_0,-0.017030258
INF2,arch_0,0.0025779773
SIVA1,arch_0,-5.3006144e-05
AL583722.2,arch_0,-0.019724805
AKT1,arch_0,-0.0011424276
LINC00638,arch_0,-0.021810144
AL583810.1,arch_0,-0.019388849
CEP170B,arch_0,-0.01826015
AHNAK2,arch_0,-0.001349716
CLBA1,arch_0,-0.013602335
CDCA4,arch_0,-0.022151774
GPR132,arch_0,-0.014038327
LINC02298,arch_0,-0.016012589
BRF1,arch_0,-0.0010137493
BTBD6,arch_0,-0.024981264
PACS2,arch_0,0.02147825
TEX22,arch_0,-0.0015752361
AL928654.1,arch_0,-0.023061257
MTA1,arch_0,-0.0026626803
CRIP1,arch_0,-0.016338922
TEDC1,arch_0,-0.019601699
TMEM121,arch_0,-0.019922165
AC087386.1,arch_0,0.004292573
AC026495.2,arch_0,-0.0072112614
AC012414.5,arch_0,-0.020998785
LINC01193,arch_0,-0.03020884
AC068446.2,arch_0,-0.02367725
AC134980.2,arch_0,-0.04472461
OR4M2,arch_0,-0.023326026
NIPA1,arch_0,0.0013663579
NIPA2,arch_0,-0.012215679
CYFIP1,arch_0,7.1277274e-05
TUBGCP5,arch_0,0.0032612195
MKRN3,arch_0,-0.012977772
NDN,arch_0,-0.029984444
AC087490.1,arch_0,-0.019921223
PWRN4,arch_0,-0.019540956
PWRN1,arch_0,0.044302724
SNHG14,arch_0,-0.025719602
AC124312.2,arch_0,-0.031286005
AC124312.5,arch_0,-0.021125847
UBE3A,arch_0,-0.0070106406
LINC02250,arch_0,-0.036096312
ATP10A,arch_0,0.008930126
LINC02346,arch_0,-0.019434048
GABRB3,arch_0,-0.014334663
GABRA5,arch_0,-0.021392427
GABRG3,arch_0,-0.03162538
GABRG3-AS1,arch_0,-0.024194313
OCA2,arch_0,-0.007454342
HERC2,arch_0,-0.0011258997
GOLGA8M,arch_0,-0.0076258434
APBA2,arch_0,-0.013049021
FAM189A1,arch_0,0.0024725588
TJP1,arch_0,-0.0061654733
AC111152.2,arch_0,-0.018374536
LINC02249,arch_0,-0.025076786
CHRFAM7A,arch_0,-0.009744859
AC127502.2,arch_0,-0.0026147135
AC026150.1,arch_0,-0.020748954
GOLGA8H,arch_0,-0.024521982
AC091057.3,arch_0,-0.020086294
AC091057.2,arch_0,-0.013181383
ARHGAP11B,arch_0,-0.008621017
FAN1,arch_0,-0.004065965
MTMR10,arch_0,-0.0012884729
AC009562.1,arch_0,-0.021904774
TRPM1,arch_0,-0.023401417
LINC02352,arch_0,-0.025882352
KLF13,arch_0,-0.019562311
OTUD7A,arch_0,-0.02496595
CHRNA7,arch_0,-0.015299258
GOLGA8O,arch_0,-0.018180756
LINC02256,arch_0,0.0056407615
AC123768.3,arch_0,-0.005140717
GOLGA8N,arch_0,-0.002375981
AC123768.2,arch_0,-0.019825492
ARHGAP11A,arch_0,-0.025184171
AC123768.5,arch_0,-0.026288744
SCG5,arch_0,-0.024267524
GREM1,arch_0,0.0027508659
FMN1,arch_0,0.08199401
RYR3,arch_0,0.014719121
AC010809.3,arch_0,-0.019944148
AC010809.2,arch_0,-0.016879538
AC010809.1,arch_0,-0.016118476
AVEN,arch_0,-0.005335586
CHRM5,arch_0,-0.018483263
EMC7,arch_0,-0.01891234
PGBD4,arch_0,-0.020756181
KATNBL1,arch_0,-0.014770227
EMC4,arch_0,-0.0110038575
SLC12A6,arch_0,0.006646605
AC079203.2,arch_0,-0.02154861
NUTM1,arch_0,-0.017931482
LPCAT4,arch_0,-0.0085671665
GOLGA8A,arch_0,0.011930521
GOLGA8B,arch_0,0.005470104
ACTC1,arch_0,-0.017391901
AQR,arch_0,-0.011342921
ZNF770,arch_0,-0.0150393285
AC114546.1,arch_0,-0.024899354
AC114546.2,arch_0,-0.019045163
AC021231.1,arch_0,-0.015492535
DPH6,arch_0,-0.005048942
DPH6-DT,arch_0,0.008465719
LINC02853,arch_0,-0.02200144
AC021351.1,arch_0,-0.026530258
C15orf41,arch_0,-0.0033309078
AC013640.1,arch_0,-0.022374615
AC018563.1,arch_0,-0.020699138
MEIS2,arch_0,0.024001095
AC078909.1,arch_0,-0.023633594
AC078909.2,arch_0,-0.02011971
AC068875.1,arch_0,-0.022151504
LINC02345,arch_0,-0.02146011
LINC01852,arch_0,-0.024499046
AC087473.1,arch_0,-0.018672628
SPRED1,arch_0,-0.021653568
FAM98B,arch_0,0.00069583836
RASGRP1,arch_0,-0.0132608935
AC116158.3,arch_0,-0.017432138
LINC02694,arch_0,-0.025674583
AC013652.1,arch_0,-0.021899289
THBS1,arch_0,-0.01887734
FSIP1,arch_0,-0.025247764
AC023908.3,arch_0,-0.02348016
GPR176,arch_0,0.007577522
EIF2AK4,arch_0,-0.0015341513
SRP14,arch_0,-0.027840098
SRP14-AS1,arch_0,0.00050298206
BMF,arch_0,-0.022186697
BUB1B,arch_0,-0.017146882
DISP2,arch_0,-0.01844193
KNSTRN,arch_0,-0.02098095
IVD,arch_0,0.001958235
BAHD1,arch_0,-0.0064723953
CHST14,arch_0,-0.028058393
AC091045.1,arch_0,-0.021351
CCDC32,arch_0,-0.003770751
RPUSD2,arch_0,-0.026016468
KNL1,arch_0,-0.019653006
RAD51-AS1,arch_0,-0.008211503
RAD51,arch_0,-0.025554642
RMDN3,arch_0,-0.0050801327
GCHFR,arch_0,-0.027152926
DNAJC17,arch_0,-0.005480415
C15orf62,arch_0,-0.02078088
ZFYVE19,arch_0,-0.009442042
PPP1R14D,arch_0,-0.017984891
VPS18,arch_0,-0.018627517
DLL4,arch_0,-0.014873244
INO80,arch_0,-0.004085108
AC020661.3,arch_0,-0.02419392
AC020661.2,arch_0,-0.027549041
INO80-AS1,arch_0,-0.027432116
EXD1,arch_0,-0.021210024
CHP1,arch_0,-0.0052167973
OIP5-AS1,arch_0,-0.017067112
OIP5,arch_0,-0.012704762
NUSAP1,arch_0,-0.015432493
NDUFAF1,arch_0,-0.013609841
RTF1,arch_0,0.0017071821
RPAP1,arch_0,-0.0056156856
TYRO3,arch_0,-0.008854182
AC016134.1,arch_0,-0.027147137
MGA,arch_0,0.0016361147
AC073657.1,arch_0,-0.019675769
MAPKBP1,arch_0,-0.0010562162
AC020659.2,arch_0,-0.022707416
JMJD7,arch_0,-0.016190128
PLA2G4B,arch_0,-0.008844284
SPTBN5,arch_0,-0.018003251
EHD4,arch_0,0.005835985
EHD4-AS1,arch_0,-0.022432638
VPS39,arch_0,-0.010652252
AC036103.1,arch_0,-0.023224682
TMEM87A,arch_0,-0.008947744
GANC,arch_0,0.019321695
CAPN3,arch_0,0.020464083
ZNF106,arch_0,-0.0058040153
SNAP23,arch_0,-0.027542101
AC018362.1,arch_0,-0.035824534
LRRC57,arch_0,-0.011040913
HAUS2,arch_0,-0.0100372005
AC018362.2,arch_0,-0.023054313
STARD9,arch_0,-0.027194526
CDAN1,arch_0,-0.015015824
AC090510.3,arch_0,-0.019612754
AC090510.2,arch_0,-0.0238093
TTBK2,arch_0,0.0127382865
AC090510.1,arch_0,-0.025616951
AC090510.4,arch_0,-0.018268315
UBR1,arch_0,0.007861685
AC068724.3,arch_0,-0.013097824
TMEM62,arch_0,0.0040630177
CCNDBP1,arch_0,-0.013223773
EPB42,arch_0,-0.01742094
TGM5,arch_0,-0.017031433
LCMT2,arch_0,-0.024110159
ADAL,arch_0,0.003202639
ZSCAN29,arch_0,-0.001120272
TUBGCP4,arch_0,-0.0022063416
TP53BP1,arch_0,0.006813043
MAP1A,arch_0,0.0023716972
PPIP5K1,arch_0,8.2433995e-05
STRC,arch_0,-0.018535655
CATSPER2,arch_0,0.0058209132
PDIA3,arch_0,-0.011967493
ELL3,arch_0,-0.021219881
SERF2,arch_0,-0.03158946
SERINC4,arch_0,-0.023401454
HYPK,arch_0,-0.02158837
MFAP1,arch_0,-0.0031347743
WDR76,arch_0,-0.018583942
FRMD5,arch_0,-0.001382508
CASC4,arch_0,0.0074559296
AC090519.2,arch_0,-0.026308095
AC025043.1,arch_0,-0.016938016
CTDSPL2,arch_0,-0.015406433
AC025430.1,arch_0,-0.02333388
EIF3J-DT,arch_0,-0.012198337
EIF3J,arch_0,-0.011309657
SPG11,arch_0,-0.0028721357
PATL2,arch_0,-0.0038536133
B2M,arch_0,-0.020430584
TRIM69,arch_0,-0.009780045
SORD,arch_0,-0.014530789
AC091117.2,arch_0,-0.021723926
DUOX2,arch_0,-0.019003686
DUOXA2,arch_0,-0.017126849
DUOXA1,arch_0,0.0033445803
DUOX1,arch_0,-0.01029892
AC051619.6,arch_0,-0.0058485465
SHF,arch_0,-0.009599547
AC051619.4,arch_0,-0.01657004
AC051619.5,arch_0,-0.0051453128
SLC28A2,arch_0,-0.021349505
GATM,arch_0,-0.014252111
AC025580.3,arch_0,-0.026030324
SPATA5L1,arch_0,-0.004966742
C15orf48,arch_0,-0.020835247
AC025580.2,arch_0,-0.01746904
SLC30A4,arch_0,-0.0021292053
BLOC1S6,arch_0,-0.009076127
SQOR,arch_0,0.0150201
AC068722.1,arch_0,-0.018424593
AC012405.1,arch_0,-0.022177482
AC073941.1,arch_0,-0.023340272
SEMA6D,arch_0,-0.009872855
AC023905.1,arch_0,-0.023264628
AC092078.2,arch_0,-0.01936606
SLC24A5,arch_0,-0.02524114
MYEF2,arch_0,-0.021511564
SLC12A1,arch_0,-0.014884169
AC066612.2,arch_0,-0.015118993
AC023355.1,arch_0,-0.013602309
DUT,arch_0,-0.00954225
FBN1,arch_0,0.0886649
AC022467.2,arch_0,-0.010536551
AC084757.3,arch_0,-0.021006236
CEP152,arch_0,0.05105495
SHC4,arch_0,0.0071464223
EID1,arch_0,-0.03615656
SECISBP2L,arch_0,-0.006762282
COPS2,arch_0,-0.0038202319
GALK2,arch_0,0.0040750927
FAM227B,arch_0,0.0028858338
FGF7,arch_0,0.11512845
DTWD1,arch_0,0.02880494
ATP8B4,arch_0,0.06889012
SLC27A2,arch_0,-0.02066142
GABPB1,arch_0,-0.005356435
GABPB1-AS1,arch_0,-0.004847424
AC022087.1,arch_0,-0.02338646
USP8,arch_0,-0.01695175
AC012170.3,arch_0,-0.027050387
AC012170.2,arch_0,-0.01803878
USP50,arch_0,-0.016512748
TRPM7,arch_0,-0.015929446
AC084756.1,arch_0,-0.027075944
SPPL2A,arch_0,-0.014438827
AC021752.1,arch_0,-0.006411435
AP4E1,arch_0,-0.004269153
MIR4713HG,arch_0,0.0107608
TNFAIP8L3,arch_0,0.01718539
CYP19A1,arch_0,0.00051276124
GLDN,arch_0,-0.003958488
AC066613.2,arch_0,-0.01649714
DMXL2,arch_0,0.0131296385
SCG3,arch_0,-0.021207375
LYSMD2,arch_0,-0.01408898
TMOD2,arch_0,0.017763887
TMOD3,arch_0,0.0074236123
AC090971.2,arch_0,-0.012696011
AC090971.1,arch_0,-0.020914713
LEO1,arch_0,-0.008737932
MAPK6,arch_0,-0.0016439414
AC023906.5,arch_0,-0.018824331
GNB5,arch_0,-0.022042464
AC023906.3,arch_0,-0.025729641
AC023906.4,arch_0,-0.030016351
CERNA1,arch_0,-0.022315998
MYO5C,arch_0,-0.013277582
MYO5A,arch_0,0.022116164
ARPP19,arch_0,-0.021038173
AC025917.1,arch_0,-0.027114104
FAM214A,arch_0,-0.023760218
AC009754.2,arch_0,-0.0218061
WDR72,arch_0,-0.019523136
UNC13C,arch_0,-0.014317952
AC025272.1,arch_0,-0.019470923
AC011912.1,arch_0,-0.021236109
RSL24D1,arch_0,-0.019707987
RAB27A,arch_0,0.005903933
PIGBOS1,arch_0,-0.019910606
PIGB,arch_0,-0.009341812
CCPG1,arch_0,-0.010370974
C15orf65,arch_0,-0.021014795
DNAAF4,arch_0,0.0066947583
PYGO1,arch_0,-0.0015266932
PRTG,arch_0,-0.028964877
NEDD4,arch_0,-0.008943728
RFX7,arch_0,0.0056246733
TEX9,arch_0,0.007734474
AC084782.1,arch_0,-0.021016758
AC084782.2,arch_0,-0.01919364
MNS1,arch_0,0.016424118
AC090518.1,arch_0,-0.003945491
ZNF280D,arch_0,-0.0006922818
AC090517.5,arch_0,0.012637868
AC010999.2,arch_0,-0.021285923
TCF12,arch_0,-0.018165722
LINC00926,arch_0,-0.022239542
CGNL1,arch_0,0.08402558
AC025271.2,arch_0,-0.019749485
POLR2M,arch_0,-0.020647274
ALDH1A2,arch_0,0.016039874
AC025431.1,arch_0,-0.01913196
LIPC,arch_0,0.00435083
AC018904.1,arch_0,-0.023462797
ADAM10,arch_0,0.0048121517
MINDY2,arch_0,0.0011458645
AC090515.4,arch_0,-0.022017948
RNF111,arch_0,-0.031693004
SLTM,arch_0,-0.006579197
CCNB2,arch_0,-0.024957368
AC092757.2,arch_0,-0.022971764
MYO1E,arch_0,0.0377247
FAM81A,arch_0,0.012934658
GCNT3,arch_0,-0.025113178
GTF2A2,arch_0,-0.012537226
BNIP2,arch_0,-0.004677846
ANXA2,arch_0,0.001315664
ICE2,arch_0,0.0041467827
RORA-AS1,arch_0,-0.06163804
RORA,arch_0,-0.05414196
AC009560.3,arch_0,-0.026291763
AC009560.4,arch_0,-0.03051688
RORA-AS2,arch_0,-0.025162729
AC022898.1,arch_0,-0.022990009
AC012404.1,arch_0,-0.07634097
AC012404.2,arch_0,-0.025069864
AC104574.2,arch_0,-0.06491338
AC104574.1,arch_0,-0.023725037
AC018618.1,arch_0,-0.04397288
AC009554.1,arch_0,-0.024102403
VPS13C,arch_0,0.009173035
AC032011.1,arch_0,-0.021074774
TLN2,arch_0,0.038009167
AC100839.1,arch_0,-0.02566078
AC100839.2,arch_0,-0.025073376
AC103740.1,arch_0,-0.026370894
TPM1,arch_0,-0.0082805455
TPM1-AS,arch_0,-0.024069518
AC079328.2,arch_0,-0.028431209
AC087612.1,arch_0,-0.017864784
LACTB,arch_0,0.002303963
RPS27L,arch_0,-0.0020803285
RAB8B,arch_0,-0.022283033
APH1B,arch_0,-0.009750627
CA12,arch_0,-0.010308853
AC007950.2,arch_0,-0.024156034
USP3,arch_0,-0.023826517
USP3-AS1,arch_0,-0.03581766
HERC1,arch_0,0.007574708
AC073167.1,arch_0,-0.023259766
DAPK2,arch_0,0.017358035
AC015914.1,arch_0,-0.016973672
CIAO2A,arch_0,-0.0076074647
SNX1,arch_0,-0.0072949263
SNX22,arch_0,-0.026530595
PPIB,arch_0,-0.03261499
CSNK1G1,arch_0,-0.007537192
PCLAF,arch_0,-0.019664
TRIP4,arch_0,-0.0056785382
ZNF609,arch_0,-0.03276061
OAZ2,arch_0,-0.008563753
AC100830.2,arch_0,-0.01907719
AC100830.1,arch_0,-0.008620639
RBPMS2,arch_0,-0.017302634
PIF1,arch_0,-0.016863944
PLEKHO2,arch_0,0.0015103185
AC069368.2,arch_0,-0.02100961
ANKDD1A,arch_0,0.01769056
AC103691.1,arch_0,-0.025449928
SPG21,arch_0,-0.022047386
MTFMT,arch_0,-0.017459841
SLC51B,arch_0,-0.030225653
AC013553.3,arch_0,-0.020114388
RASL12,arch_0,-0.025077155
UBAP1L,arch_0,-0.0005538533
PDCD7,arch_0,-0.010310594
CLPX,arch_0,-0.016476907
CILP,arch_0,-0.07501591
PARP16,arch_0,-0.0006381609
IGDCC3,arch_0,-0.020302143
IGDCC4,arch_0,0.0015078803
DPP8,arch_0,-0.008714948
HACD3,arch_0,0.007626482
INTS14,arch_0,-0.0044329427
SLC24A1,arch_0,-0.02859447
DENND4A,arch_0,-0.027255906
RAB11A,arch_0,-0.060502265
MEGF11,arch_0,-0.017292513
AC055855.2,arch_0,-0.0092443125
DIS3L,arch_0,0.006388973
AC055855.1,arch_0,-0.0112093985
TIPIN,arch_0,0.0029913327
MAP2K1,arch_0,0.008071462
AC116913.1,arch_0,-0.019775929
SNAPC5,arch_0,-0.015646648
RPL4,arch_0,-0.029652478
ZWILCH,arch_0,-0.004517543
LCTL,arch_0,-0.022825921
LINC01169,arch_0,0.017111514
SMAD6,arch_0,0.1084962
AC110048.2,arch_0,-0.010521764
AC093334.1,arch_0,-0.005621222
LINC02206,arch_0,-0.023550855
AC087482.1,arch_0,-0.024265766
SMAD3,arch_0,0.005521758
AC012568.1,arch_0,-0.023569701
AAGAB,arch_0,-0.007806011
IQCH,arch_0,-0.029098611
IQCH-AS1,arch_0,-0.026423743
C15orf61,arch_0,-0.021187298
MAP2K5,arch_0,-0.013013439
SKOR1,arch_0,-0.023359502
AC009292.2,arch_0,-0.019631222
PIAS1,arch_0,-0.008018146
CALML4,arch_0,-0.01092461
CLN6,arch_0,-0.005138972
AC107871.2,arch_0,-0.02280321
FEM1B,arch_0,-0.0016832625
ITGA11,arch_0,0.058551796
CORO2B,arch_0,-0.017060166
ANP32A,arch_0,-0.011639158
SPESP1,arch_0,-0.004621907
AC087639.2,arch_0,-0.02023133
NOX5,arch_0,-0.017876226
EWSAT1,arch_0,-0.019123254
GLCE,arch_0,-0.07313049
AC026992.2,arch_0,-0.022027511
AC026992.1,arch_0,-0.025410518
PAQR5,arch_0,0.009715769
AC027237.3,arch_0,-0.009369928
KIF23,arch_0,-0.017924666
RPLP1,arch_0,-0.023447454
AC027237.2,arch_0,-0.022489224
DRAIC,arch_0,-0.017518368
TLE3,arch_0,0.0041341963
AC009434.1,arch_0,-0.022286927
LINC02204,arch_0,-0.027505668
SALRNA2,arch_0,-0.03168101
UACA,arch_0,-0.03323924
AC009269.2,arch_0,-0.028957985
LARP6,arch_0,-0.017287172
LRRC49,arch_0,-0.0116963545
THAP10,arch_0,-0.025243504
THSD4,arch_0,-0.06510342
THSD4-AS1,arch_0,-0.028687652
AC108861.1,arch_0,-0.019712988
NR2E3,arch_0,-0.025833275
AC104938.1,arch_0,-0.024964895
MYO9A,arch_0,0.022297142
AC022872.1,arch_0,-0.016229542
SENP8,arch_0,-0.01896191
AC020779.2,arch_0,-0.023930741
GRAMD2A,arch_0,-0.02297718
PKM,arch_0,-0.004737713
PARP6,arch_0,-0.0064898087
AC009690.2,arch_0,-0.017704716
CELF6,arch_0,-0.0028378856
HEXA,arch_0,-0.0021273626
HEXA-AS1,arch_0,-0.020256132
TMEM202-AS1,arch_0,-0.0076683746
ARIH1,arch_0,-0.015714813
LINC02259,arch_0,-0.027920904
AC100827.4,arch_0,-0.01890687
BBS4,arch_0,-0.0015730741
ADPGK,arch_0,-0.0128094265
ADPGK-AS1,arch_0,-0.019863458
NEO1,arch_0,0.038928494
REC114,arch_0,-0.016314402
NPTN,arch_0,-0.012595938
CD276,arch_0,0.0005913862
INSYN1,arch_0,-0.019812828
LOXL1-AS1,arch_0,-0.012751831
LOXL1,arch_0,-0.022723023
STOML1,arch_0,-0.021532955
PML,arch_0,0.01642281
AC013486.1,arch_0,-0.020183293
ISLR2,arch_0,-0.028135667
